Gene,B-A_FC,B-A_logFC,B-A_tstat,B-A_pval,B-A_adjpval,C-A_FC,C-A_logFC,C-A_tstat,C-A_pval,C-A_adjpval,B-C_FC,B-C_logFC,B-C_tstat,B-C_pval,B-C_adjpval
1110008F13Rik,-1.16,-0.214,-0.742,0.473,0.804,-2.32,-1.21,-3.53,0.00464,0.0486,2.0,1.0,2.89,0.0146,0.13
2810474O19Rik,-1.35,-0.429,-1.14,0.277,0.681,1.97,0.977,2.8,0.0172,0.105,-2.65,-1.41,-4.0,0.00204,0.0455
4632428N05Rik,2.36,1.24,3.32,0.00677,0.138,4.56,2.19,6.02,8.24E-5,0.0039,-1.93,-0.951,-3.38,0.00601,0.0817
4833439L19Rik,-1.33,-0.407,-1.62,0.133,0.518,-2.24,-1.17,-4.01,0.00199,0.0297,1.69,0.758,2.56,0.0264,0.176
4930523C07Rik,-1.8,-0.848,-1.43,0.18,0.581,4.49,2.17,5.28,2.48E-4,0.0082,-8.07,-3.01,-5.39,2.1E-4,0.0116
5430427O19Rik,-2.25,-1.17,-3.24,0.00777,0.146,-3.04,-1.61,-3.82,0.00276,0.0359,1.35,0.435,0.969,0.353,0.619
Abca1,1.18,0.235,0.491,0.633,0.885,4.57,2.19,4.95,4.18E-4,0.0109,-3.89,-1.96,-5.22,2.72E-4,0.0137
Abcb8,-1.43,-0.513,-1.63,0.131,0.517,-2.48,-1.31,-3.54,0.00458,0.0482,1.74,0.798,2.1,0.059,0.26
Abce1,1.38,0.468,2.07,0.0628,0.38,-1.48,-0.568,-2.18,0.0513,0.2,2.05,1.04,4.11,0.00167,0.0398
Abhd8,1.17,0.227,0.431,0.675,0.899,7.02,2.81,6.04,7.94E-5,0.00383,-6.0,-2.58,-5.9,9.84E-5,0.00722
Abi1,1.96,0.973,3.17,0.00879,0.156,3.56,1.83,6.11,7.19E-5,0.00358,-1.81,-0.859,-3.28,0.0072,0.0903
Acap2,-5.73,-2.52,-4.68,6.48E-4,0.0395,-2.43,-1.28,-3.0,0.0119,0.0828,-2.36,-1.24,-2.13,0.0567,0.256
Actr3,1.87,0.902,7.61,9.7E-6,0.00246,2.47,1.3,10.9,2.73E-7,1.51E-4,-1.32,-0.401,-3.76,0.00307,0.0565
Adcy3,1.93,0.945,1.61,0.136,0.519,4.8,2.26,3.99,0.00208,0.0303,-2.5,-1.32,-3.6,0.00407,0.0666
Add1,1.74,0.8,2.67,0.0216,0.246,3.08,1.62,5.48,1.83E-4,0.00691,-1.77,-0.822,-3.07,0.0106,0.108
Add3,3.48,1.8,7.64,9.4E-6,0.00246,2.74,1.45,5.95,9.13E-5,0.00422,1.27,0.345,1.71,0.115,0.365
Adpgk,1.81,0.857,1.86,0.0902,0.445,4.83,2.27,5.14,3.11E-4,0.00922,-2.67,-1.41,-3.96,0.00217,0.0469
Adssl1,-2.14,-1.1,-3.5,0.00492,0.122,-4.19,-2.07,-5.33,2.3E-4,0.00786,1.95,0.967,2.35,0.038,0.211
Aff3,1.56,0.643,2.3,0.042,0.321,-2.05,-1.03,-2.97,0.0127,0.0863,3.19,1.68,4.92,4.42E-4,0.0188
Aff4,3.17,1.67,4.06,0.00185,0.0727,12.1,3.6,9.16,1.6E-6,2.98E-4,-3.82,-1.93,-7.06,1.95E-5,0.00216
Agpat3,1.19,0.246,0.525,0.61,0.875,3.46,1.79,4.12,0.00165,0.0264,-2.91,-1.54,-3.88,0.00249,0.0503
Ahcyl2,3.01,1.59,2.53,0.0278,0.271,42.2,5.4,9.08,1.74E-6,3.09E-4,-14.0,-3.81,-10.5,4.04E-7,2.13E-4
Ahr,2.05,1.04,1.7,0.116,0.492,6.8,2.77,4.78,5.49E-4,0.0131,-3.31,-1.73,-4.03,0.00193,0.044
AI467606,-1.19,-0.252,-0.986,0.345,0.727,1.68,0.753,3.03,0.0113,0.081,-2.01,-1.01,-4.12,0.00167,0.0398
Aip,1.05,0.0692,0.22,0.83,0.957,2.09,1.06,3.51,0.00481,0.0497,-1.99,-0.991,-3.39,0.0059,0.0807
Akna,1.81,0.854,4.23,0.00138,0.0646,2.8,1.49,7.36,1.33E-5,0.0013,-1.55,-0.631,-3.47,0.00519,0.0748
Aldh2,-2.35,-1.23,-6.84,2.64E-5,0.00502,-1.64,-0.716,-3.94,0.00226,0.0319,-1.43,-0.517,-2.64,0.0229,0.165
Aldoa,1.71,0.773,3.98,0.00211,0.0792,2.9,1.53,7.95,6.42E-6,7.2E-4,-1.69,-0.761,-4.42,0.001,0.03
Amd1,-2.16,-1.11,-3.93,0.0023,0.0825,-2.91,-1.54,-4.75,5.83E-4,0.0135,1.35,0.433,1.26,0.235,0.515
Ankmy2,-1.03,-0.0402,-0.0967,0.925,0.983,2.59,1.38,3.55,0.00445,0.0476,-2.67,-1.42,-4.06,0.00182,0.0422
Ankrd13a,-2.07,-1.05,-6.91,2.39E-5,0.00468,-1.78,-0.828,-5.21,2.77E-4,0.00861,-1.16,-0.218,-1.3,0.219,0.5
Ankrd44,2.46,1.3,3.5,0.0049,0.122,3.03,1.6,4.27,0.00128,0.0224,-1.23,-0.3,-0.937,0.369,0.628
Anks1,-2.53,-1.34,-4.62,7.11E-4,0.0415,-23.3,-4.54,-3.8,0.00286,0.0367,9.23,3.21,2.62,0.0237,0.167
Anxa1,-2.43,-1.28,-4.04,0.0019,0.0729,1.28,0.355,1.28,0.228,0.469,-3.11,-1.64,-5.27,2.54E-4,0.0131
